TRACK_ID,FRAME,ID,track_id_unique,track_id_parent,pos_x,pos_y,dt1_n0_dx,dt1_n0_dy,dt2_n0_dx,dt2_n0_dy,dt4_n0_dx,dt4_n0_dy,dt8_n0_dx,dt8_n0_dy,dt12_n0_dx,dt12_n0_dy,dt16_n0_dx,dt16_n0_dy,track_id_unique_pred,track_id_parent_pred
16,3,60073,18,0,1173.5295338037254,702.0013827726422,20.1209785064616,-9.779591186767107,16.147290435202653,-9.337548732023151,32.09604843731131,-16.059238307396527,58.734472726918966,-75.28921525350826,76.54465684636193,-67.1886229246943,88.00734290460878,-19.41185367742696,17,0
12,3,59210,3,0,979.682018068647,195.7724507248477,1.8731043724147869,-3.50297518443341,-0.26977864311356825,-1.47049753117264,0.7399863802892241,0.5376421805697476,0.0,0.0,0.0,0.0,0.0,0.0,13,0
17,3,59147,8,0,1830.5664096712783,161.35431092491243,-8.168788313874074,-2.976774279580809,-41.56449600561655,-14.36980725585849,-81.96289333607001,-31.572217876130622,-85.86657378575069,-32.18855534927073,-102.11448757159495,-16.761428466213147,-116.03671358814744,-37.476944148838015,18,0
14,3,60075,26,25,1983.9040831111483,703.8891182111597,4.261714336227215,5.467020173561082,4.7603946504646055,10.901479006981956,17.731153252268086,34.422954976493656,23.266874685360328,45.7499855721453,37.66692793493871,72.08080461600878,55.111209503546426,89.11682933344696,21,0
3,3,60363,33,0,519.9189234404945,864.7880114845618,-1.8532649396290708,1.3485092961985856,-3.947918543616652,3.0988044188626422,-14.153305777192314,8.201721563860701,-68.21715158785713,36.83919411885893,-86.07874300925789,53.93770198354298,-109.63115378232294,71.75238784923532,4,0
10,3,61901,2,0,1458.9348788546604,1784.9479788309134,-12.270501080276516,3.2080592824418086,-26.43820044343306,3.920558477279428,-41.35454236209147,-0.5523806119797428,-27.03892826317474,-17.229765149191962,41.430082247539296,-17.94147556336839,105.68496268147759,-47.66908453475094,11,0
4,3,60305,29,28,1710.745025999038,827.5919820611548,-14.27556010129456,-22.822196360791626,-25.322422112408727,-35.922146011674606,-40.94795237650419,-63.03006814056482,-70.33969730231546,-111.05838184439564,-114.59195739464758,-159.75213234707238,-130.18803216734273,-159.19320763263545,19,0
15,3,61778,46,0,1583.2554808971577,1705.809858849156,-1.964803910738965,-7.081254898178713,5.5408227656118925,-5.846344910942207,22.93577589174561,-19.1776455297088,73.70949104185344,-60.72529537992432,128.2502365848652,-102.02669857596949,211.34916718773067,-179.20768424129074,16,0
11,3,60787,43,0,1131.8169377027127,1138.8681628658894,2.33745856384985,9.458917929824564,11.815884067637398,22.902985735163842,46.84101916307236,32.87097110385821,119.28953265898643,44.725587449003804,171.0074015391749,51.35045574227911,196.74800986727158,54.789274446492755,12,0
1,3,59605,42,0,1734.9560448822986,429.54919196254235,1.3008115484847167,-1.8200043820472156,0.3309214388825694,-5.485842893177504,1.2964069127256153,-9.782312649369203,-4.082845578996057,-9.032189880919477,-58.0926353722773,-26.744652407484068,-81.63173894635133,-36.29129843058519,2,0
8,3,59830,20,0,1273.724227708495,553.8065826897018,1.3266531644410406,-5.7490150873055645,-1.3983402128299076,-14.56972191816351,-2.8457721069751187,-27.04164470460284,20.64069217315,-90.77695265519445,118.76943957608593,-142.61126052836238,147.67476428109214,-171.3781632506439,9,0
13,3,60311,14,0,906.701289790202,833.7277350665831,-1.0493687552811934,22.131303699753627,-2.6407492961675416,30.5435061732328,0.09536126780790256,3.7662983517529938,0.13756950924357625,-12.881844940708447,4.5906686948893585,-37.55856127108154,10.680634125109693,-77.01726540270761,14,0
5,3,60347,13,0,1337.182251247853,856.1294362470088,-17.41282195785402,-2.761327682930073,-25.574030001683692,-14.18065141950956,-37.800684056455346,-27.82637957486486,-67.94699446384311,-7.9471257522156975,-89.12505018497404,22.65921816370997,-102.96784079037957,66.00206936048801,6,0
14,3,59804,27,25,1895.2522733963626,538.1082905183049,-3.0063128167059863,-14.305027320917704,-7.981956490224321,-27.61639765908649,-9.94834864495192,-46.17410578106694,-23.67054762190355,-46.3773205236053,-45.39281566624346,-25.285084334110365,-54.335424011407675,-50.22305606080192,22,0
0,3,60252,17,0,1022.3345075001724,801.7686905129959,1.4869708889071944,-4.995715204373141,-5.3112072959938805,-9.631626094942249,-15.094130651000686,-8.458521890684665,-27.58166687740777,30.31186034535631,-41.31455131702228,92.507416242722,-37.23133407411592,38.436692190629635,1,0
2,3,61949,19,0,1288.6352113003575,1819.999414060771,3.1504628616969512,-4.3568707428376,-4.270699846103753,-7.389397957021173,-8.363871706281769,-24.446970117947558,-33.363972571987915,5.855094050168418,-32.05457675540492,-18.64209789035681,-29.866405435569053,-35.13868755662429,3,0
0,4,81728,17,0,998.8080409104197,813.4448995910141,6.551195888572806,8.198843074880756,-4.055200287654999,18.635651267338176,-10.606577689202707,43.755247989894094,-11.674184487086336,72.693467739124,-32.07467182189225,6.34842357227467,-63.030383641035996,-77.56064501208664,1,0
11,4,83395,43,0,1212.5923164533126,1187.6217041047328,16.508121430839765,0.36085261167227145,38.51415390838679,-4.0279537898395565,58.90477959024406,5.03834182323817,114.77677351945091,-0.7808624618014619,121.3898022868377,14.022621786751868,160.6383834583776,29.928765195280217,12,0
14,4,81415,26,25,2006.476672235928,746.3181613614215,0.8588594569273482,3.8158703614335536,0.6942855605809655,3.3209424218833874,5.760904577313112,15.280342478667194,32.538620378767064,44.68777118307264,32.538620378767064,51.687823683466384,32.538620378767064,50.68781618340996,21,0
15,4,85958,46,0,1642.003493506825,1660.8538023166684,7.260828367792102,-9.367833674073836,14.961478432185912,-15.769238847436554,39.86050936903689,-26.628343484258043,116.98325419464982,-95.97507468055572,199.26205989910136,-189.19718285141744,249.6020952876754,-286.9391591037732,16,0
10,4,86701,2,0,1417.983290769856,1777.7607754467635,4.6897064873398895,-1.427333990327725,13.912659821629404,-10.042561765042592,33.61438912415906,-7.084970608881804,137.66268054389522,-26.012337645348225,184.29946798532976,-77.3071621738584,226.18798481193423,-112.02830645787571,11,0
2,4,86989,19,0,1264.658456423244,1825.402239259681,-9.920336041769358,6.174877941308751,-9.38721769487438,0.4522688512581681,-10.366591260616133,-13.933199500297633,-3.548669871978745,-35.902124352676765,-2.665488623422561,-46.34462581622938,-4.816135834548959,-41.899732997130286,3,0
14,4,80303,27,25,1882.7397767055481,486.15398943986617,-3.1280624431215074,-0.7786833026505064,-11.158050931089521,5.576980554833425,-26.35193570543493,24.636306476093463,-32.206196236227925,6.090713986588355,-46.259163097417506,-6.082133647597914,-37.594171045811656,-43.946278925496934,22,0
8,4,80335,20,0,1278.808828931681,501.6076004876677,9.195658720123221,-21.369435202167093,15.556090949963846,-38.57797045316028,58.00537319336422,-60.845175823758325,135.98340458938807,-110.53789434081273,143.4318372768348,-129.68057304030742,156.63596384231982,-170.94814102484463,9,0
5,4,81809,13,0,1288.0633933104516,832.2569200738961,-8.52622519530496,6.821573837057032,-18.828136526441764,15.925390420896859,-27.337580843731303,27.619190623803657,-44.63871464991007,70.97154829748321,-58.50934067523439,124.05540369440244,-47.22195247863215,185.20275274402297,6,0
16,4,81107,18,0,1221.4269290822706,655.0822659095076,12.548584133433678,-13.354704249556336,10.837077448373975,-28.37009839037364,22.810371953260983,-34.69580286813198,27.03182930763228,-15.097118565638088,95.66427367517372,94.50866271112044,182.1311782710818,153.38593020632197,17,0
12,4,79154,4,3,954.0595720396657,170.97430691602472,-19.9423764365863,-17.008994300032185,-41.30882085351777,-38.181423938399966,-70.46189845058257,-77.51383160304107,-107.51169256035256,-103.22444583292202,-116.79380105752192,-127.38207066079966,-122.39845925237672,-130.46528498426466,23,0
9,4,82005,36,0,31.50047144345657,878.8608660569861,-3.616038316665147,-3.00844998078162,-11.000317692303444,-18.35441225858267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0
4,4,82709,32,28,1900.0710067517944,1041.9033965898939,5.769834039690068,9.373469731734986,10.610468173322259,20.689626965103802,15.99612599174452,33.923369526026356,24.67408436310757,66.63279216663,24.36682832980296,125.00479060660065,34.60085205434416,186.5404898167292,20,0
4,4,81399,29,28,1653.2481790645443,741.0808686779692,-4.871050640394969,-10.465447804221526,-12.842850367821939,-24.547268461210138,-30.540150166814787,-47.515870792497815,-75.74836987051208,-70.47493765015192,-65.98622996807218,-82.71595079569977,-23.306811302261853,-75.53666396512709,19,0
3,4,82041,33,0,486.3098600503901,882.105847421897,-15.69620390919755,4.602813803399271,-34.60808819775269,19.521358181523734,-44.008568024865724,25.921999649081048,-68.94644050667233,46.60544704536324,-104.32006695935179,78.80557235671597,-135.20318594424413,104.74513759888987,4,0
12,4,79384,5,3,1034.9774166140005,257.6360357630283,33.27778196423287,44.113126402492014,54.864130309639904,67.36104346813454,83.20512108643902,83.82863902544233,151.03859302380397,132.09296814924596,188.0652677004084,162.62162403997255,212.947251176374,178.92656428421878,24,0
13,4,81786,14,0,908.3073766771054,821.6906979854101,-0.3353503514906606,-4.502707844198766,-1.4685173776598504,-0.8448078595354218,-3.1910489616897166,11.87636215728446,7.757334985089301,-50.39322812480089,2.225440216415677,-39.824145666734466,-2.556734152447006,-8.667258679123506,14,0
1,4,80061,42,0,1735.3742589203866,421.51238924189204,-0.26137102601660445,0.40068521573510907,-4.501059617084593,-0.9953871602691606,-19.117132420476533,-1.3579477799245865,-75.40773257837031,-24.79805234132823,-87.45131062058134,-30.752882792933413,-103.38239370854716,-31.549357040481933,2,0
17,4,79039,8,0,1740.787753236685,133.47959331657083,6.2329007077464675,-0.0596550077072493,3.9120826488428975,-4.313837740929159,-2.0884656954194725,0.8596922218904695,-23.72887329390528,-5.171492355313773,-5.473954127713569,-16.376775360544286,8.233167503089819,-55.043709126623604,18,0
2,5,98305,19,0,1256.5806345449525,1801.3573161704142,3.0041165490197272,-3.8823390086129166,4.529152006312644,-11.857201263409705,2.1881713198358743,-16.496589666267482,4.093787847782323,-20.75623593026944,11.369969498155115,-37.77434939020873,23.008902546457648,-49.80504079719664,3,0
8,5,95968,20,0,1392.4936672845806,411.1953221613394,9.618554970420972,-11.760130710786939,22.298566236488337,-20.12561601448453,28.90532470500625,-28.76690272228149,35.580166437165865,-60.16071056171745,49.644830951796386,-96.35993907209972,66.88509236417985,-126.63969813435376,9,0
11,5,97155,43,0,1302.8243392418874,1190.2186186081685,13.380419167212038,-3.091164760124002,24.54475073087565,-3.377776965237217,25.74060832809664,3.4388187042136447,49.931635181222866,17.017021954433407,79.70182756640133,36.662835844736954,116.1635113920752,56.16328056200928,12,0
9,5,96644,37,36,0.0,831.0062325467441,0.0,-3.0000225001688254,0.0,-17.000127500956296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0
18,5,97063,47,0,0.0,1136.0085200639005,0.0,3.0000225001688254,0.0,7.000052500393848,26.598700570696106,28.302468561831123,55.517162017494286,37.853595251439856,86.43783794813146,69.88656054524404,120.33204658603066,98.72370928525991,26,0
12,5,95369,4,3,862.0408811055635,68.57168307543493,-7.4359202527631405,-3.2793939300172923,-15.493001626250589,-0.8218219923322323,-19.285436471743648,-9.034502759899793,-19.290849681573146,-33.39651685945273,-46.783854667850285,-33.43494651790797,-46.974386783234884,-45.61651547414436,23,0
9,5,96745,38,36,40.11293336570859,920.1626788783836,-0.18612085253414531,-1.6371783321316116,10.469498293169133,-1.5099695970540097,32.47182792417119,31.236203404844108,88.37806679464977,115.07151220332683,111.7201850277963,161.6076482516867,106.81695077100771,161.23401070279942,27,0
3,5,96744,33,0,433.84018043123666,918.7257134681047,-9.37406343768896,4.91979895137672,-16.476760887518882,9.985580999155443,-23.552410773065052,17.814685865692354,-70.98771455863658,54.09888232661661,-89.41045189703074,79.39912418587426,-109.82736598046944,100.65023588700342,4,0
4,5,96394,29,28,1596.1530686043905,667.8398497140824,-14.205275675439225,-1.8198930646807407,-18.653259410358032,2.7660813137349582,-15.596074772695149,0.5589247144368983,13.360422441120589,-17.93291076436458,49.288680562661064,40.9334520120824,66.59849325356186,75.85971706975657,19,0
15,5,97962,46,0,1711.5057174820224,1603.7831602731867,25.372999129733895,-17.388011112220738,47.481030219452116,-38.90443263707402,83.0989306028655,-77.18098566532126,149.69652330913186,-175.67632050820995,201.60128541953642,-247.4061528517354,242.07662495281124,-279.93351335680563,16,0
